full_name,commit_frequency,activity_consistency,commit_trend,active_days_ratio,peak_to_average_ratio,recent_vs_past_ratio,velocity_stability,has_description,has_license,forks_count,open_issues_count,stars,commit_count_total
BradyFU/Awesome-Multimodal-Large-Language-Models,2.0192,4.2403,-0.053061,0.6346,11.8857,2.0,2.1,1,0,1050,148,16144,859
huginn/huginn,0.5769,1.498,0.019551,0.2115,12.1333,0.1667,2.5966,1,1,4058,2170,47164,3819
MobSF/Mobile-Security-Framework-MobSF,0.4038,0.9043,-0.005592,0.25,12.381,0.0,2.2391,1,1,3462,1534,19340,2015
StevenBlack/hosts,6.1154,3.5608,0.049774,0.9808,2.2893,1.5833,0.5823,1,1,2341,2115,28772,4222
uber-go/zap,0.1346,0.4398,0.003031,0.0962,14.8571,0.0,3.267,1,1,1484,651,23580,698
datawhalechina/self-llm,6.1731,8.1281,-0.067233,0.7308,4.8598,0.0625,1.3167,1,1,2393,254,23801,1244
linera-io/linera-protocol,20.2885,9.128,-0.287843,0.9808,2.0701,0.7273,0.4499,1,1,1889,1259,28303,4521
unixorn/awesome-zsh-plugins,8.0769,5.0606,0.093742,0.9231,2.9714,1.8,0.6265,1,1,566,64,16740,5938
microsoft/TypeScript,5.2115,5.1714,0.071843,0.9423,4.9889,0.1818,0.9923,1,1,12976,42492,105775,36579
dhg/Skeleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3125,206,19419,167
langgenius/dify,79.7885,24.0994,0.179672,1.0,1.7045,0.681,0.302,1,1,17216,12821,112653,7005
tayllan/awesome-algorithms,0.4038,1.0788,0.012764,0.1731,14.8571,0.0,2.6713,1,0,2870,18,23553,277
Modernizr/Modernizr,0.2115,0.6603,0.007214,0.1346,18.9091,1000000000.0,3.1215,1,1,2966,1495,25666,2630
babysor/MockingBird,0.0385,0.1923,0.002561,0.0385,26.0,0.0,5.0,1,1,5261,888,36591,210
bigskysoftware/htmx,3.4231,4.5588,-0.085461,0.6731,6.1348,0.0,1.3318,1,1,1487,1579,45821,3430
minio/minio,2.8846,3.4511,-0.129685,0.6923,4.16,500000000.0,1.1964,1,1,6104,7819,54928,12533
Trinea/android-open-project,0.0385,0.2747,-0.000598,0.0192,52.0,0.0,7.1414,1,1,11903,86,31797,963
MunGell/awesome-for-beginners,2.3462,4.1412,-0.046529,0.4615,8.5246,2000000000.0,1.7651,1,0,7401,187,77114,884
rasbt/deeplearning-models,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4069,30,17200,215
vitejs/awesome-vite,0.1923,0.7605,-0.009391,0.0962,26.0,0.0,3.9547,1,1,1273,64,16175,2078
zxing/zxing,0.8077,3.0637,0.025527,0.1731,26.0,0.0,3.7931,1,1,9419,1326,33556,3832
eza-community/eza,2.3462,2.5486,-0.10817,0.6154,3.4098,0.0,1.0863,1,1,314,576,17112,3319
bilibili/flv.js,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3367,733,23219,431
Z-Siqi/Clash-for-Windows_Chinese,0.5192,1.5871,-0.033766,0.1731,15.4074,0.0,3.0566,1,0,3120,253,26078,592
android-hacker/VirtualXposed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2519,1085,15817,1661
supabase/supabase,80.6538,25.8158,0.776915,1.0,1.6242,0.9621,0.3201,1,1,9679,4689,87838,32364
angular/components,29.3654,16.4048,-0.248826,1.0,3.201,1.0357,0.5586,1,1,6812,15866,24881,14245
google/python-fire,0.3654,1.1934,-0.016093,0.1346,19.1579,0.0,3.2661,1,1,1453,333,27856,355
kubernetes/minikube,32.3654,28.2039,1.083027,1.0,4.0784,1.1875,0.8714,1,1,5049,10135,30876,26075
jlevy/the-art-of-command-line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,14746,258,157971,1218
huggingface/pytorch-image-models,6.8077,6.4986,-0.078118,0.8654,3.5254,1.0,0.9546,1,1,5002,998,35142,2908
digitalocean/nginxconfig.io,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2071,239,28179,322
inkonchain/docs,3.6346,5.4843,-0.2087,0.5769,7.9788,1.0,1.5089,1,0,417,33,36941,684
alibaba/spring-cloud-alibaba,1.0385,1.7646,0.043883,0.3846,6.7407,0.125,1.6993,1,1,8469,2502,28726,2593
powerline/fonts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3183,253,26112,215
spf13/cobra,0.4808,1.0094,-0.013532,0.2308,8.32,0.0,2.0995,1,1,2988,1214,41743,1092
motion-canvas/motion-canvas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,661,428,17411,954
validatorjs/validator.js,0.9423,1.7695,-0.038718,0.4038,8.4898,0.0,1.8779,1,1,2347,1094,23579,2321
filamentphp/filament,87.1923,60.3547,-2.124989,1.0,2.5805,0.7403,0.6922,1,1,3739,2944,26166,27927
h5bp/html5-boilerplate,0.5769,1.3494,-0.018868,0.2308,10.4,0.0,2.339,1,1,12293,1354,57150,2592
spring-projects/spring-boot,127.9615,65.9837,-0.985486,1.0,2.4773,0.798,0.5157,1,1,41458,39338,78266,56878
Stability-AI/StableLM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1031,76,15807,32
nuxt/nuxt,25.0962,11.7183,-0.307991,1.0,2.5103,0.9348,0.4669,1,1,5353,16689,58060,8091
satwikkansal/wtfpython,0.8077,1.9219,-0.075984,0.1923,8.6667,0.0,2.3795,1,1,2669,223,36588,670
nhn/tui.editor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1818,1640,17670,361
tqdm/tqdm,0.2692,1.7879,0.02382,0.0385,48.2857,0.0,6.6409,1,1,1399,1027,30344,2019
floodsung/Deep-Learning-Papers-Reading-Roadmap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7344,57,39249,114
spf13/viper,1.3077,3.4837,-0.023649,0.3654,18.3529,0.0,2.664,1,1,2064,902,29172,859
godotengine/godot,179.6538,58.3207,-0.839324,1.0,1.8814,0.9747,0.3246,1,1,23076,58246,100762,76691
sczhou/CodeFormer,0.0385,0.2747,0.001964,0.0192,52.0,0.0,7.1414,1,1,3630,374,17431,74
haoel/leetcode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4941,63,17901,788
meta-llama/llama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9799,1098,58687,148
frida/frida,4.5769,5.329,-0.092717,0.6731,4.5882,11.0,1.1643,1,1,1889,3065,18440,4516
kelseyhightower/nocode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4772,4864,63857,4
cfenollosa/os-tutorial,0.0192,0.1373,0.001921,0.0192,52.0,0.0,7.1414,1,1,3432,180,28703,148
diem/diem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2581,1417,16695,9840
hashcat/hashcat,25.25,33.6509,-0.396525,0.6923,6.5347,0.0,1.3327,1,0,3208,2184,24148,10738
source-foundry/Hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,640,493,16950,1361
Hannibal046/Awesome-LLM,0.6923,1.5509,-0.045163,0.2115,10.1111,0.0,2.2402,1,1,2096,34,24864,544
square/okhttp,8.6923,6.597,-0.050969,0.9615,2.9912,0.1935,0.7589,1,1,9242,4185,46626,6030
perkfly/reverse-interview-zh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1387,23,18226,41
mattermost/mattermost,37.2692,13.6946,-0.444378,1.0,1.7709,1.1014,0.3675,1,1,7947,9054,33508,21201
Loyalsoldier/v2ray-rules-dat,0.0769,0.2665,0.002732,0.0769,13.0,0.0,3.4641,1,1,2284,344,17335,307
sharkdp/hyperfine,0.4615,1.0824,-0.004354,0.2308,10.8333,500000000.0,2.3452,1,1,419,267,26026,995
livewire/livewire,18.0385,20.0566,0.530778,0.9231,5.1002,0.31,1.1119,1,1,1654,1576,23130,5102
oxc-project/oxc,142.7115,47.1998,1.969308,1.0,1.7308,0.703,0.3307,1,1,639,2230,16206,11586
mongodb/mongo,176.4231,38.896,0.947067,1.0,1.5871,0.798,0.2205,1,1,5674,0,27481,91492
JacksonTian/fks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4564,33,17976,222
gin-gonic/gin,3.1538,3.4551,0.022198,0.6923,5.3902,6500000000.0,1.0955,1,1,8308,2352,83801,1871
Tencent/APIJSON,2.5,3.4446,-0.053872,0.6731,6.4,23.0,1.3778,1,1,2250,675,18144,3352
postgres/postgres,53.6731,20.7603,-0.229787,1.0,2.4966,1.0435,0.3868,1,1,5081,0,18407,62027
dbeaver/dbeaver,26.5769,11.473,0.168189,1.0,1.919,1.2321,0.4317,1,1,3814,19390,45088,27527
cube-js/cube,19.0385,6.9889,-0.181166,1.0,1.7859,1.4333,0.3671,1,1,1885,2581,18843,9836
sindresorhus/awesome-electron,0.0769,0.3309,0.004696,0.0577,26.0,0.0,4.3012,1,1,2021,45,26618,565
open-mmlab/mmdetection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9724,8498,31623,2706
etcd-io/etcd,34.0962,15.6688,-0.325664,1.0,2.3463,0.7761,0.4595,1,1,10162,7016,50190,23683
aidenybai/million,0.0192,0.1373,0.001238,0.0192,52.0,0.0,7.1414,1,1,589,578,17309,2363
mathiasbynens/dotfiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8709,392,30970,762
dkhamsing/open-source-ios-apps,16.9808,7.8409,-0.119824,0.9615,1.7078,0.9375,0.4618,1,1,5612,312,46326,8691
Mikoto10032/DeepLearning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3799,17,16388,554
GrowingGit/GitHub-Chinese-Top-Charts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,13251,340,101741,1018
facebook/folly,41.5962,20.1793,0.44203,0.9808,2.5483,1.51,0.4851,1,1,5763,1225,29727,14874
nvim-telescope/telescope.nvim,0.6731,1.762,0.030351,0.25,14.8571,0.0,2.6178,1,1,910,1933,18173,1465
Mikubill/sd-webui-controlnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2024,1523,17778,1940
microsoft/react-native-windows,10.6346,4.5108,-0.051695,1.0,2.1627,0.68,0.4242,1,1,1172,5141,16972,9174
uNetworking/uWebSockets,0.25,0.7037,-0.004824,0.1538,16.0,0.5,2.8148,1,1,1816,548,18226,1152
prestodb/presto,27.8654,8.8057,-0.166951,1.0,1.8302,0.9556,0.316,1,1,5493,7018,16481,24713
cli/cli,32.4423,22.1015,-0.482242,1.0,2.8975,1.4722,0.6813,1,1,7002,5170,40494,10032
sharkdp/bat,8.5962,8.6963,0.13135,0.8462,4.3043,0.5,1.0116,1,1,1340,1519,54208,3464
SWE-agent/SWE-agent,5.1731,6.6411,-0.276744,0.6538,4.6394,0.3636,1.2838,1,1,1791,576,17198,2117
radix-ui/primitives,2.5,6.4644,-0.12849,0.3269,10.0,500000000.0,2.5858,1,1,1013,1691,17776,1634
rupa/z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1177,238,16765,217
kdn251/interviews,0.0577,0.412,-0.00397,0.0192,52.0,0.0,7.1414,1,1,12952,56,64418,448
rclone/rclone,15.5962,9.8004,0.070819,1.0,3.2059,0.8649,0.6284,1,1,4664,5798,52349,9052
shadowsocks/shadowsocks-libev,0.2885,1.9249,0.029326,0.0385,48.5333,0.0,6.673,1,1,6305,2234,16030,2381
gnachman/iTerm2,24.8846,19.9785,-0.023051,0.9808,3.7372,0.4571,0.8028,1,1,1230,0,16273,15204
fxsjy/jieba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,6730,867,34357,523
mdbootstrap/mdb-ui-kit,0.0769,0.2665,-0.001451,0.0769,13.0,0.0,3.4641,1,1,3495,1195,24300,1483
DapperLib/Dapper,0.0962,0.4048,-0.007556,0.0577,20.8,0.0,4.2095,1,1,3677,1366,18043,1610
yetone/avante.nvim,15.1538,14.9234,-0.722445,0.9615,3.2995,4.0,0.9848,1,1,711,975,15775,1463
ZuzooVn/machine-learning-for-software-engineers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,6220,26,28587,302
fastai/fastai,1.9231,2.9276,-0.039699,0.5,7.28,8.0,1.5224,1,1,7643,1831,27397,2881
ggml-org/whisper.cpp,34.8462,10.3243,-0.144028,1.0,1.7792,0.2821,0.2963,1,1,4628,1757,42846,3066
charmbracelet/glow,1.2692,1.6654,-0.063348,0.5769,7.0909,0.0,1.3122,1,1,445,327,19007,846
adam-p/markdown-here,0.3269,1.49,-0.012507,0.0577,27.5294,0.0,4.5576,1,1,11188,629,60003,852
standard/standard,0.0577,0.412,-0.001665,0.0192,52.0,0.0,7.1414,1,1,2323,1232,29344,2001
alvarotrigo/fullPage.js,1.3269,4.5265,-0.00397,0.2115,23.3623,0.0,3.4113,1,1,7232,4131,35463,2306
hiyouga/LLaMA-Factory,8.9808,5.3114,-0.142022,0.9808,3.0064,0.8,0.5914,1,1,6985,7370,57002,2968
microsoft/ai-agents-for-beginners,15.9615,16.8967,0.103987,0.9231,4.1976,1.0851,1.0586,1,1,11586,67,35838,608
novuhq/novu,32.6346,11.2353,-0.4749,1.0,1.9611,0.84,0.3443,1,1,4109,1623,37689,20325
backstage/backstage,150.9615,58.5481,-0.339623,1.0,1.8283,0.8379,0.3878,1,1,6752,7074,31243,67065
joke2k/faker,4.1154,5.8856,-0.013319,0.4615,6.0748,0.5882,1.4302,1,1,2013,794,18659,4038
zyedidia/micro,3.0962,2.6693,-0.045633,0.7692,2.9068,0.25,0.8621,1,1,1236,2439,26780,3425
resend/react-email,14.6731,13.5017,-0.052122,0.9423,4.9751,0.1786,0.9202,1,1,810,597,16520,1628
niklasvh/html2canvas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4883,2621,31503,1066
typst/typst,15.2692,10.7991,0.191924,0.9615,3.995,0.3721,0.7072,1,1,1206,3503,45204,3890
recharts/recharts,18.8269,6.5213,0.145949,1.0,1.9653,1.4643,0.3464,1,1,1811,3381,25842,3952
flameshot-org/flameshot,5.4808,6.0526,-0.089089,0.8269,4.7439,2.5,1.1043,1,1,1758,2777,27680,2172
minimaxir/big-list-of-naughty-strings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2159,101,47398,273
UKPLab/sentence-transformers,14.6731,19.3607,-0.764322,0.8269,5.9292,0.25,1.3195,1,1,2670,2450,17448,2364
aws/aws-cli,16.4808,3.035,-0.009007,1.0,1.3349,1.0,0.1842,1,1,4341,4808,16316,13248
nvie/gitflow,0.0385,0.2747,0.00111,0.0192,52.0,0.0,7.1414,1,1,2657,364,26840,401
apache/incubator-seata,5.8462,3.7896,0.001025,0.9423,2.2237,0.0,0.6482,1,1,8858,4169,25775,2306
gedoor/legado,9.0962,10.1133,-0.423675,0.9231,5.9366,0.5,1.1118,1,1,4568,2982,39639,6427
coollabsio/coolify,68.75,47.8728,0.639076,1.0,3.2291,0.2647,0.6963,1,1,2867,2839,44760,12128
kyleneideck/BackgroundMusic,0.2885,1.0254,0.014556,0.1154,20.8,1500000000.0,3.5547,1,1,718,694,17810,426
bailicangdu/vue2-elm,0.0192,0.1373,-0.001665,0.0192,52.0,0.0,7.1414,1,1,12379,630,41157,512
lukehoban/es6features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2836,57,29196,109
keon/algorithms,0.9423,3.9731,0.085845,0.1538,29.7143,16500000000.0,4.2163,1,1,4693,165,24723,961
type-challenges/type-challenges,0.75,2.065,-0.01413,0.2115,14.6667,0.0,2.7534,1,1,5060,36387,46374,1004
leandromoreira/digital_video_introduction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1360,56,15975,448
bharathgs/Awesome-pytorch-list,0.0577,0.412,0.005763,0.0192,52.0,0.0,7.1414,1,0,2815,16,16095,748
ziadoz/awesome-php,0.5,2.1168,-0.024076,0.1538,30.0,500000000.0,4.2336,1,1,5127,153,31853,1753
QuivrHQ/quivr,0.5192,1.065,-0.044011,0.2692,9.6296,0.0,2.0511,1,1,3670,1535,38368,2295
SortableJS/Sortable,0.0769,0.2665,-0.002647,0.0769,13.0,0.0,3.4641,1,1,3744,1817,30700,1112
Netflix/Hystrix,0.0385,0.2747,0.002647,0.0192,52.0,0.0,7.1414,1,0,4718,1038,24396,2119
gitroomhq/postiz-app,24.2885,18.0835,-0.107872,1.0,2.9232,0.7636,0.7445,1,1,3742,428,23267,1813
typescript-eslint/typescript-eslint,12.1346,9.7823,-0.040084,0.9615,4.6149,0.5,0.8061,1,1,2816,5604,15904,6152
huggingface/lerobot,10.9423,8.7297,0.1258,1.0,4.0211,1.4762,0.7978,1,1,2438,659,16922,944
reactnativecn/react-native-guide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3781,21,17814,157
karakeep-app/karakeep,16.8654,9.6477,0.147315,0.9808,2.1938,0.9434,0.572,1,1,838,1170,19475,1344
vuejs/core,7.5,7.4408,0.004269,0.8269,3.4667,0.3667,0.9921,1,1,8866,5787,51447,6745
pytorch/vision,3.0962,3.1333,-0.023265,0.75,4.5217,1.3333,1.012,1,1,7145,3527,17108,4106
microsoft/WSL,5.3462,3.7921,0.070178,0.9615,3.1799,0.75,0.7093,1,1,1463,11752,29690,473
ether/etherpad-lite,7.4808,7.8581,0.037779,0.8846,5.6144,2.4286,1.0504,1,1,2955,3221,17689,9223
trpc/trpc,6.5192,5.6449,-0.078503,0.8654,3.2212,0.4615,0.8659,1,1,1404,1286,38353,4656
xitu/gold-miner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5047,5601,34256,11473
redisson/redisson,16.7885,14.1453,0.064928,1.0,4.4674,0.3182,0.8426,1,1,5477,5587,24004,10687
h5bp/Front-end-Developer-Interview-Questions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,11092,177,60552,1045
3b1b/manim,0.7885,3.1643,0.009605,0.1154,21.561,0.0588,4.0133,1,1,6861,1213,80289,6344
material-components/material-components-android,8.3462,5.7576,-0.24571,0.9615,3.235,0.4,0.6898,1,1,3173,3427,16929,6231
python-telegram-bot/python-telegram-bot,4.1538,3.8199,0.001025,0.8846,3.6111,0.5556,0.9196,1,1,5821,2279,28090,2992
hankcs/HanLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,10753,1429,35561,1770
mattermost-community/focalboard,0.0769,0.5493,-0.003927,0.0192,52.0,0.0,7.1414,1,1,2311,2430,24887,3646
sickcodes/Docker-OSX,0.2308,0.775,-0.00794,0.0962,17.3333,0.0,3.3582,1,1,2852,669,51283,500
netdata/netdata,38.6731,13.4661,-0.40899,1.0,1.8618,1.0127,0.3482,1,1,6134,8119,75696,20854
LAION-AI/Open-Assistant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3295,1645,37460,3477
less/less.js,0.3462,0.6761,-0.010501,0.2308,5.7778,0.0,1.9532,1,1,3398,2861,17056,3004
AobingJava/JavaFamily,0.0192,0.1373,0.000811,0.0192,52.0,0.0,7.1414,1,0,7802,65,36613,227
eosphoros-ai/DB-GPT,5.3654,7.4396,-0.327798,0.8462,7.2688,0.25,1.3866,1,1,2394,1586,17230,3247
shadowsocks/shadowsocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18406,0,33657,1
transloadit/uppy,7.1731,6.7787,0.010458,0.9615,4.6005,0.2,0.945,1,1,2083,2458,30193,10348
django/django,17.1923,6.0225,0.029454,1.0,1.9776,0.561,0.3503,1,1,32877,0,84843,33812
chatwoot/chatwoot,20.75,7.6129,-0.079698,1.0,1.9277,1.3171,0.3669,1,1,5239,5017,25129,5325
ianyh/Amethyst,0.4423,1.0815,-0.007726,0.1923,11.3043,1500000000.0,2.4452,1,1,501,1135,15635,1358
graphdeco-inria/gaussian-splatting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2567,1178,18300,250
alibaba/DataX,0.4038,1.0788,-0.028729,0.1538,12.381,0.0,2.6713,1,1,5597,1657,16773,725
black-forest-labs/flux,0.1154,0.4663,-0.004269,0.0769,26.0,0.0,4.0415,1,1,1766,246,24161,59
jesseduffield/lazygit,19.0385,15.0166,-0.404679,0.9423,4.5172,0.2,0.7888,1,1,2211,2300,64237,6854
hackiftekhar/IQKeyboardManager,0.3462,0.8294,0.009989,0.1923,11.5556,1000000000.0,2.396,1,1,2433,1874,16597,1387
seaweedfs/seaweedfs,31.75,27.5135,1.209041,1.0,4.9134,0.6358,0.8666,1,1,2457,3131,25666,11846
exelban/stats,3.2308,2.3421,-0.010074,0.7885,2.4762,2.0,0.7249,1,1,1064,2191,33460,2141
Rapptz/discord.py,3.9808,8.3769,0.009861,0.5192,12.5604,10.0,2.1043,1,1,3877,3004,15656,5316
nickbutcher/plaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3125,353,16250,1277
react-hook-form/react-hook-form,3.6154,2.7537,-0.033894,0.8654,2.766,0.3333,0.7617,1,1,2273,4843,43757,3833
trojan-gfw/trojan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3043,612,19409,466
lovell/sharp,2.8846,3.9206,-0.089729,0.6538,5.5467,0.0,1.3592,1,1,1350,3986,31042,2279
lewagon/setup,0.7308,1.4691,0.019551,0.2692,10.9474,0.0,2.0104,1,0,1593,152,19190,1190
encode/django-rest-framework,2.3462,2.7518,0.048493,0.7692,4.6885,0.6364,1.1729,1,1,6999,3945,29421,8887
twitter/twemoji,0.0962,0.6867,0.008324,0.0192,52.0,0.0,7.1414,1,1,1887,446,17169,426
ungoogled-software/ungoogled-chromium,1.6346,1.1934,-0.009519,0.8654,3.0588,1.0,0.7301,1,1,974,2434,23747,2317
MonitorControl/MonitorControl,0.1538,0.6008,0.005549,0.0769,19.5,0.0,3.9051,1,1,885,987,30993,283
flatpickr/flatpickr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1468,2215,16393,2867
Anuken/Mindustry,26.5962,18.6334,0.077734,0.9615,2.9704,0.9059,0.7006,1,1,3171,4924,24670,19441
microsoft/Data-Science-For-Beginners,10.6731,24.7096,0.377316,0.5192,10.5874,0.3611,2.3151,1,1,6429,121,30610,1596
pnpm/pnpm,16.0577,10.2458,0.142192,1.0,3.2383,2.6562,0.6381,1,1,1181,4912,32509,9916
quii/learn-go-with-tests,0.3269,0.8256,-0.002433,0.2115,15.2941,500000000.0,2.5253,1,1,2896,255,23101,1405
facebook/fresco,10.4231,9.2015,0.093486,0.9808,4.797,2.1538,0.8828,1,1,3760,2323,17134,4456
greenrobot/EventBus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4672,589,24758,550
jenkinsci/jenkins,33.6538,16.6605,-0.694869,1.0,2.6743,0.7925,0.4951,1,1,9116,0,24365,37405
shadowsocks/shadowsocks-android,0.3077,0.8213,-0.002647,0.1346,9.75,0.0,2.6693,1,1,11550,2505,36066,3735
remix-run/react-router,23.9423,15.8859,-0.384573,0.9808,3.1743,1.6364,0.6635,1,1,10707,8162,55430,10230
ymcui/Chinese-LLaMA-Alpaca,0.0192,0.1373,-0.000555,0.0192,52.0,0.0,7.1414,1,1,1880,732,18913,557
mlabonne/llm-course,0.1923,0.6805,0.002391,0.0769,15.6,0.0,3.5384,1,1,6678,84,61173,91
microsoft/PowerToys,21.4423,10.3653,0.121873,1.0,1.9587,0.5937,0.4834,1,1,7320,34698,122758,8295
